state,month,year,dem_percentage,gop_percentage,winner,margin
CO,Nov,2020,55.0,41.0,D,14.0
CO,Oct,2020,54.0,41.0,D,13.0
CO,Oct,2020,59.0,40.0,D,19.0
CO,Oct,2020,55.0,39.0,D,16.0
CO,Oct,2020,55.0,38.0,D,17.0
CO,Oct,2020,51.0,43.0,D,8.0
CO,Oct,2020,53.0,42.0,D,11.0
CO,Oct,2020,54.0,39.0,D,15.0
CO,Oct,2020,54.0,40.0,D,14.0
CO,Oct,2020,47.0,38.0,D,9.0
CO,Oct,2020,50.0,40.0,D,10.0
CO,Sep,2020,57.0,41.0,D,16.0
CO,Sep,2020,49.0,43.0,D,6.0
CO,Sep,2020,50.0,40.0,D,10.0
CO,Sep,2020,50.0,39.0,D,11.0
CO,Aug,2020,57.0,41.0,D,16.0
CO,Aug,2020,51.0,41.0,D,10.0
CO,Aug,2020,51.0,42.0,D,9.0
CO,Aug,2020,51.0,41.0,D,10.0
CO,Aug,2020,51.0,41.0,D,10.0
CO,Aug,2020,52.0,40.0,D,12.0
CO,Jul,2020,58.0,40.0,D,18.0
CO,Jul,2020,52.0,39.0,D,13.0
CO,Jul,2020,51.0,41.0,D,10.0
CO,Jul,2020,54.0,41.0,D,13.0
CO,Jun,2020,56.0,39.0,D,17.0
CO,Jun,2020,57.0,42.0,D,15.0
CO,May,2020,50.0,42.0,D,8.0
CO,May,2020,53.0,40.0,D,13.0
CO,May,2020,55.0,36.0,D,19.0
CO,Apr,2020,53.0,35.0,D,18.0
CO,Feb,2020,46.0,43.0,D,3.0
CO,Aug,2019,55.0,45.0,D,10.0
CO,Jul,2019,51.0,42.0,D,9.0
CT,Nov,2020,60.0,38.0,D,22.0
CT,Nov,2020,64.0,33.0,D,31.0
CT,Oct,2020,63.0,35.0,D,28.0
CT,Oct,2020,51.0,26.0,D,25.0
CT,Sep,2020,61.0,37.0,D,24.0
CT,Aug,2020,64.0,35.0,D,29.0
CT,Jul,2020,59.0,39.0,D,20.0
CT,Jun,2020,65.0,32.0,D,33.0
CT,May,2020,52.0,33.0,D,19.0
CT,May,2020,56.0,33.0,D,23.0
CT,Apr,2020,47.0,34.0,D,13.0
CT,Mar,2020,52.0,36.0,D,16.0
CT,Jan,2020,52.0,32.0,D,20.0
CT,Oct,2019,52.0,33.0,D,19.0
DE,Nov,2020,60.0,38.0,D,22.0
DE,Oct,2020,62.0,37.0,D,25.0
DE,Sep,2020,61.0,37.0,D,24.0
DE,Sep,2020,54.0,33.0,D,21.0
DE,Aug,2020,67.0,32.0,D,35.0
DE,Aug,2020,58.0,37.0,D,21.0
DE,Jul,2020,67.0,31.0,D,36.0
DE,Jun,2020,64.0,34.0,D,30.0
DE,Jan,2020,56.0,40.0,D,16.0
DC,Nov,2020,94.0,5.0,D,89.0
DC,Oct,2020,89.0,9.0,D,80.0
DC,Sep,2020,86.0,12.0,D,74.0
DC,Aug,2020,83.0,16.0,D,67.0
DC,Jul,2020,91.0,8.0,D,83.0
DC,Jun,2020,87.0,11.0,D,76.0
FL,Nov,2020,47.0,48.0,R,1.0
FL,Nov,2020,47.0,49.0,R,2.0
FL,Nov,2020,49.0,49.0,E,0.0
FL,Nov,2020,45.0,43.0,D,2.0
FL,Nov,2020,51.0,48.0,D,3.0
FL,Nov,2020,46.0,47.0,R,1.0
