OBJECTID,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,POP_DENSITY,B02001_002E,B02001_002M,B02001_003E,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B03001_002E,B03001_002M,B03001_003E,B03001_003M,DP05_0077PE,DP05_0082PM,DP05_0071PM,DP05_0071PE,DP05_0083PM,DP05_0077PM,DP05_0078PE,DP05_0078PM,DP05_0079PE,DP05_0079PM,DP05_0080PE,DP05_0080PM,DP05_0081PE,DP05_0081PM,DP05_0082PE,DP05_0083PE,SHAPE_Length,SHAPE_Area
39,42,01779798,0400000US42,42,PA,Pennsylvania,00,115880457407,3398574954,110.385567042362,10300602,6231,1430664,5337,24691,1504,436324,2541,4198,567,275177,6763,319874,6796,11856314,96,935216,96,76.4,0.1,0.1,7.3,0.1,0.1,10.7,0.1,0.1,0.1,3.4,0.1,0,0.1,0.2,1.9,17.334145946308,12.5358377028836
40,44,01219835,0400000US44,44,RI,Rhode Island,00,2677787140,1323663210,394.815175637896,850597,3035,71561,1725,5277,802,35958,912,810,273,57807,2719,35221,2239,894005,0,163226,0,72,0.1,,15.4,0.1,0.1,5.7,0.1,0.3,0.1,3.3,0.1,0.1,0.1,0.7,2.4,5.80162297301666,0.307750273652801
41,45,01779799,0400000US45,45,SC,South Carolina,00,77864659170,5075874513,64.4811915125474,3372011,4260,1344139,2889,17645,1311,78805,1162,4002,785,88274,4403,115930,3563,4735348,42,285458,42,63.7,0.1,0.1,5.7,0.1,0.1,26.6,0.1,0.3,0.1,1.6,0.1,0.1,0.1,0.2,2,15.9258765486591,7.85639919458976
42,46,01785534,0400000US46,46,SD,South Dakota,00,196346195316,3383460688,4.43419847580338,733719,1035,17531,806,76190,1023,12627,483,504,176,7230,820,22837,1342,837614,205,33024,205,82,0.1,0.1,3.8,0.1,0.1,2,0.1,8.4,0.1,1.4,0.1,0.1,0.1,0.1,2.3,23.3987821770753,22.5783316353292
43,47,01325873,0400000US47,47,TN,Tennessee,00,106805839178,2347012319,62.8182508712689,5205132,4583,1124473,3575,18189,1047,117600,1532,3771,491,92655,4252,147536,3695,6345182,221,364174,221,73.8,0.1,0.1,5.4,0.1,0.1,16.6,0.1,0.2,0.1,1.7,0.1,0.1,0.1,0.2,2,22.3742798538323,10.8892716962164
44,48,01779801,0400000US48,48,TX,Texas,00,676668210823,18991880422,41.7647165153918,20903375,19556,3428211,7560,141425,4735,1357273,4592,25292,1089,1643869,19082,761411,14387,17143975,247,11116881,247,42,0.1,0.1,39.3,0.1,0.1,11.8,0.1,0.3,0.1,4.7,0.1,0.1,0.1,0.2,1.7,71.9765922570574,65.3276707563914
45,49,01455989,0400000US49,49,UT,Utah,00,213355135666,6529910339,14.5149915905845,2676482,5224,36849,1335,33721,1497,71977,1314,27554,1154,156229,5209,94036,3137,2662016,0,434832,0,78.3,0.1,,14,0.1,0.1,1.1,0.1,0.9,0.1,2.3,0.1,0.9,0.1,0.2,2.3,20.001215013569,22.975116780702
46,50,01779802,0400000US50,50,VT,Vermont,00,23874197924,1030383955,26.150114110112,587883,447,8502,393,2132,286,10461,609,325,148,2410,411,12600,745,612275,0,12038,0,92.8,0.1,,1.9,0.1,0.1,1.3,0.1,0.3,0.1,1.7,0.1,0,0.1,0.1,1.9,9.57125437062138,2.79795351297077
47,51,01779803,0400000US51,51,VA,Virginia,00,102258306285,8527942672,82.6775184055651,5717617,6871,1621592,4393,23873,1521,541133,3118,6179,562,223794,6768,320275,5841,7662462,524,792001,524,61.8,0.1,0.1,9.4,0.1,0.1,18.8,0.1,0.2,0.1,6.3,0.1,0.1,0.1,0.3,3.1,33.6140585675716,10.6857787528406
48,53,01779804,0400000US53,53,WA,Washington,00,172117954267,12549727444,43.0176330617682,5581128,7160,281683,3569,94449,2701,631333,3410,49090,1312,333038,7414,433386,6496,6466528,0,937579,0,68.5,0.1,,12.7,0.1,0.1,3.7,0.1,1.1,0.1,8.5,0.1,0.6,0.1,0.2,4.8,47.9612543578732,20.8996360558688
49,54,01779805,0400000US54,54,WV,West Virginia,00,62266231560,489271086,29.1860444171708,1691600,1460,66990,1372,3667,569,14523,683,419,181,7971,1100,32135,1388,1788937,641,28368,641,92,0.1,0.1,1.6,0.1,0.1,3.6,0.1,0.2,0.1,0.8,0.1,0,0.1,0.2,1.6,20.1969832674113,6.49387972628266
50,55,01779806,0400000US55,55,WI,Wisconsin,00,140293020078,29344176961,41.275866730793,4946961,3696,371200,2147,51392,1091,161841,1582,2400,529,118350,3422,138572,3409,5396324,0,394392,0,81.3,0.1,,6.8,0.1,0.1,6.3,0.1,0.8,0.1,2.8,0.1,0,0.1,0.1,1.9,28.3859908843106,16.4901861957261
51,56,01779807,0400000US56,56,WY,Wyoming,00,251458578211,1867637632,2.31061514836237,531304,1434,5582,608,14164,805,5025,437,596,302,8832,1134,15521,1050,523683,143,57341,143,84.1,0.1,0.1,9.9,0.1,0.1,0.9,0.1,2.2,0.1,0.8,0.1,0.1,0.1,0,2.1,21.9955352148813,27.970714628137
55,72,01779808,0400000US72,72,PR,Puerto Rico,00,8868701898,4922576715,374.1750526927,2188014,9520,386676,7052,6838,1034,6237,953,269,231,554764,7687,175649,4948,42528,2210,3275919,2210,1,0.1,0.1,98.7,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0.1,6.8618085229661,0.771304755284832
